link_title,web_title,bio_url,image_url
Padre Antônio Vieira,Padre Antônio Vieira,https://pt.wikipedia.org/wiki/Padre_Ant%C3%B4nio_Vieira,https://upload.wikimedia.org/wikipedia/commons/2/28/Padre_Ant%C3%B3nio_Vieira.jpg
Gregório de Matos,Gregório de Matos,https://pt.wikipedia.org/wiki/Greg%C3%B3rio_de_Matos,https://upload.wikimedia.org/wikipedia/commons/7/73/Greg%C3%B3rio_de_Matos.jpg
Manuel Botelho de Oliveira,Manuel Botelho de Oliveira,https://pt.wikipedia.org/wiki/Manuel_Botelho_de_Oliveira,
Frei Manuel de Santa Maria Itaparica,Frei Manuel de Santa Maria Itaparica,https://pt.wikipedia.org/wiki/Frei_Manuel_de_Santa_Maria_Itaparica,
Nuno Marques Pereira,Nuno Marques Pereira,https://pt.wikipedia.org/wiki/Nuno_Marques_Pereira,
Sebastião da Rocha Pita,Sebastião da Rocha Pita,https://pt.wikipedia.org/wiki/Sebasti%C3%A3o_da_Rocha_Pita,https://upload.wikimedia.org/wikipedia/commons/7/75/Rocha_Pita.jpg
Frei Vicente do Salvador,Frei Vicente do Salvador,https://pt.wikipedia.org/wiki/Frei_Vicente_do_Salvador,
Bento Teixeira,Bento Teixeira,https://pt.wikipedia.org/wiki/Bento_Teixeira,
Alvarenga Peixoto,Alvarenga Peixoto,https://pt.wikipedia.org/wiki/Alvarenga_Peixoto,
Basílio da Gama,Basílio da Gama,https://pt.wikipedia.org/wiki/Bas%C3%ADlio_da_Gama,https://upload.wikimedia.org/wikipedia/commons/a/ae/Bas%C3%ADlio_da_Gama.jpg
Cláudio Manuel da Costa,Cláudio Manuel da Costa,https://pt.wikipedia.org/wiki/Cl%C3%A1udio_Manuel_da_Costa,https://upload.wikimedia.org/wikipedia/commons/6/63/Claudio_manuel_da_costa.png
Santa Rita Durão,Santa Rita Durão,https://pt.wikipedia.org/wiki/Santa_Rita_Dur%C3%A3o,https://upload.wikimedia.org/wikipedia/commons/8/81/Santa_Rita_Dur%C3%A3o_1981_Brazil_stamp.jpg
Silva Alvarenga,Silva Alvarenga,https://pt.wikipedia.org/wiki/Silva_Alvarenga,
Sousa Caldas,Sousa Caldas,https://pt.wikipedia.org/wiki/Sousa_Caldas,https://upload.wikimedia.org/wikipedia/commons/d/db/Sousa_Caldas.gif
Tomás Antônio Gonzaga,Tomás Antônio Gonzaga,https://pt.wikipedia.org/wiki/Tom%C3%A1s_Ant%C3%B4nio_Gonzaga,https://upload.wikimedia.org/wikipedia/commons/e/eb/Thomaz_Antonio_Gonzaga.jpg
Gonçalves Dias,Gonçalves Dias,https://pt.wikipedia.org/wiki/Gon%C3%A7alves_Dias,https://upload.wikimedia.org/wikipedia/commons/2/21/Gon%C3%A7alves_dias.jpg
Gonçalves de Magalhães,Gonçalves de Magalhães,https://pt.wikipedia.org/wiki/Gon%C3%A7alves_de_Magalh%C3%A3es,https://upload.wikimedia.org/wikipedia/commons/d/d2/Visconde_de_Araguaya.jpg
Manuel de Araújo Porto Alegre,Manuel de Araújo Porto Alegre,https://pt.wikipedia.org/wiki/Manuel_de_Ara%C3%BAjo_Porto_Alegre,https://upload.wikimedia.org/wikipedia/commons/2/20/Manuel_Jos%C3%A9_de_Ara%C3%BAjo_Porto-Alegre.jpg
Álvares de Azevedo,Álvares de Azevedo,https://pt.wikipedia.org/wiki/%C3%81lvares_de_Azevedo,https://upload.wikimedia.org/wikipedia/commons/1/13/%C3%81lvares_de_Azevedo.jpg
Casimiro de Abreu,Casimiro de Abreu,https://pt.wikipedia.org/wiki/Casimiro_de_Abreu,https://upload.wikimedia.org/wikipedia/commons/e/e0/Casimiro_de_Abreu_(Iconogr%C3%A1fico).jpg
Fagundes Varela,Fagundes Varela,https://pt.wikipedia.org/wiki/Fagundes_Varela,https://upload.wikimedia.org/wikipedia/commons/8/8d/Fagundes_Varella.jpg
Junqueira Freire,Junqueira Freire,https://pt.wikipedia.org/wiki/Junqueira_Freire,https://upload.wikimedia.org/wikipedia/commons/0/0a/Junqueira_Freire.jpg
Castro Alves,Castro Alves,https://pt.wikipedia.org/wiki/Castro_Alves,https://upload.wikimedia.org/wikipedia/commons/7/7a/CastroAlves.jpg
